Gene,Group,Categorical Score
ADTKD_MUC1,Clingen,Definitive
ADTKD_MUC1,Ambry,Moderate
ADTKD_MUC1,PanelApp,Strong
ADTKD_MUC1,Labcorp,Limited
ADTKD_MUC1,Orphanet,Supportive
ALS1_NIPA1,criTRia,Contradictory
ALS1_NIPA1,Orphanet,Supportive
ALS1_NIPA1,Labcorp,Strong
ALS1_NIPA1,PanelApp,Strong
BPES_FOXL2,Ambry,Definitive
BPES_FOXL2,G2P,Definitive
BPES_FOXL2,PanelApp,Strong
BPES_FOXL2,Labcorp,Strong
BPES_FOXL2,criTRia,Definitive
CANVAS_RFC1,Orphanet,Supportive
CANVAS_RFC1,Labcorp,Strong
CANVAS_RFC1,PanelApp,Strong
CANVAS_RFC1,Ambry,Moderate
CANVAS_RFC1,Clingen,Definitive
CCD_RUNX2,Ambry,Definitive
CCD_RUNX2,G2P,Definitive
CCD_RUNX2,PanelApp,Strong
CCD_RUNX2,Labcorp,Strong
CCD_RUNX2,Orphanet,Supportive
CCD_RUNX2,criTRia,Definitive
CCHS_PHOX2B,Clingen,Definitive
CCHS_PHOX2B,Ambry,Definitive
CCHS_PHOX2B,G2P,Definitive
CCHS_PHOX2B,PanelApp,Strong
CCHS_PHOX2B,Labcorp,Strong
CCHS_PHOX2B,Orphanet,Supportive
CJD_PRNP,Ambry,Definitive
CJD_PRNP,PanelApp,Strong
CJD_PRNP,Labcorp,Strong
CJD_PRNP,Orphanet,Supportive
CJD_PRNP,criTRia,Moderate
CPEO_POLG,Ambry,Definitive
CPEO_POLG,G2P,Definitive
CPEO_POLG,PanelApp,Strong
CPEO_POLG,Labcorp,Strong
CPEO_POLG,Orphanet,Supportive
CPEO_POLG,criTRia,Contradictory
CPUM_TYMS,criTRia,Limited
DBQD2_XYLT1,G2P,Strong
DBQD2_XYLT1,PanelApp,Strong
DBQD2_XYLT1,Labcorp,Strong
DBQD2_XYLT1,Orphanet,Supportive
DBQD2_XYLT1,criTRia,Moderate
DM1_DMPK,G2P,Definitive
DM1_DMPK,Labcorp,Strong
DM1_DMPK,Orphanet,Supportive
DM1_DMPK,criTRia,Definitive
DM2_CNBP,criTRia,Definitive
DM2_CNBP,G2P,Definitive
DM2_CNBP,Labcorp,Strong
DM2_CNBP,Orphanet,Supportive
DMD_DMD,Clingen,Definitive
DMD_DMD,Ambry,Definitive
DMD_DMD,Labcorp,Strong
DMD_DMD,G2P,Definitive
DMD_DMD,Lab MM,Strong
DMD_DMD,Myriad,Definitive
DMD_DMD,Orphanet,Supportive
DMD_DMD,criTRia,Contradictory
DRPLA_ATN1,Ambry,Moderate
DRPLA_ATN1,PanelApp,Strong
DRPLA_ATN1,Illumina,moderate
DRPLA_ATN1,Labcorp,Strong
DRPLA_ATN1,Orphanet,Supportive
DRPLA_ATN1,criTRia,Definitive
EDM1-PSACH_COMP,Clingen,Definitive
EDM1-PSACH_COMP,G2P,Limited
EDM1-PSACH_COMP,Labcorp,Strong
EDM1-PSACH_COMP,Orphanet,Supportive
EIEE1_ARX,Clingen,Definitive
EIEE1_ARX,PanelApp,Strong
EIEE1_ARX,Labcorp,Strong
EIEE1_ARX,Orphanet,Supportive
EIEE1_ARX,criTRia,Definitive
EPM1_CSTB,Clingen,Definitive
EPM1_CSTB,Labcorp,Strong
EPM1_CSTB,Orphanet,Supportive
FAME1_SAMD12,PanelApp,Limited
FAME1_SAMD12,Labcorp,Strong
FAME1_SAMD12,Orphanet,Supportive
FAME1_SAMD12,criTRia,Definitive
FAME2_STARD7,PanelApp,Limited
FAME2_STARD7,criTRia,Strong
FAME3_MARCHF6,Orphanet,Supportive
FAME3_MARCHF6,criTRia,Moderate
FAME4_YEATS2,PanelApp,Limited
FAME4_YEATS2,Orphanet,Supportive
FAME4_YEATS2,criTRia,Moderate
FAME6_TNRC6A,criTRia,Limited
FAME6_TNRC6A,PanelApp,Limited
FAME6_TNRC6A,Labcorp,Limited
FAME7_RAPGEF2,Ambry,Limited
FAME7_RAPGEF2,Labcorp,Limited
FAME7_RAPGEF2,criTRia,Limited
FAME8_RAI1,Clingen,Definitive
FAME8_RAI1,criTRia,Limited
FECD3_TCF4,G2P,Strong
FECD3_TCF4,Orphanet,Supportive
FECD3_TCF4,criTRia,Definitive
FRA12A_DIP2B,Ambry,Limited
FRA12A_DIP2B,G2P,Limited
FRA12A_DIP2B,Labcorp,Contradictory
FRA12A_DIP2B,criTRia,Limited
FRA2A_AFF3,G2P,moderate
FRA2A_AFF3,criTRia,Definitive
FRA7A_ZNF713,G2P,Limited
FRA7A_ZNF713,criTRia,Moderate
FRAXE_AFF2,Clingen,Definitive
FRAXE_AFF2,G2P,Definitive
FRAXE_AFF2,PanelApp,Strong
FRAXE_AFF2,Labcorp,Strong
FRAXE_AFF2,Orphanet,Supportive
FRDA_FXN,Clingen,Definitive
FRDA_FXN,G2P,Definitive
FRDA_FXN,Labcorp,Strong
FRDA_FXN,Orphanet,Supportive
FTDALS1_C9orf72,Clingen,Definitive
FTDALS1_C9orf72,Ambry,Moderate
FTDALS1_C9orf72,Labcorp,Strong
FXS_FMR1,criTRia,Definitive
FXS_FMR1,Clingen,Definitive
FXS_FMR1,Ambry,Definitive
FXS_FMR1,G2P,Definitive
FXS_FMR1,PanelApp,Strong
FXS_FMR1,Labcorp,Strong
FXS_FMR1,Myriad,Definitive
FXS_FMR1,Orphanet,Supportive
FXS_FMR1 (lumped),criTRia,Definitive
FXS_FMR1 (lumped),Labcorp,Strong
FXS_FMR1 (lumped),Orphanet,Supportive
FXTAS/POF1_FMR1,criTRia,Strong
FXTAS/POF1_FMR1,G2P,Definitive
FXTAS/POF1_FMR1,Ambry,Strong
FXTAS/POF1_FMR1,Labcorp,Strong
FXTAS/POF1_FMR1,Orphanet,Supportive
GDPAG_GLS,Clingen,Definitive
GDPAG_GLS,Ambry,Moderate
GDPAG_GLS,PanelApp,strong
GDPAG_GLS,Labcorp,Strong
GDPAG_GLS,Orphanet,Supportive
HD_HTT,Clingen,Definitive
HD_HTT,Ambry,Definitive
HD_HTT,Labcorp,Strong
HD_HTT,Orphanet,Supportive
HDL2_JPH3,Ambry,Definitive
HDL2_JPH3,Labcorp,strong
HDL2_JPH3,criTRia,Definitive
HFG_HOXA13 (lumped),ClinGen,Definitive
HFG_HOXA13 (lumped),Ambry,Moderate
HFG_HOXA13 (lumped),G2P,Definitive
HFG_HOXA13 (lumped),PanelApp,strong
HFG_HOXA13 (lumped),Labcorp,Strong
HFG_HOXA13 (lumped),Orphanet,Supportive
HFG_HOXA13-II,criTRia,Limited
HFG_HOXA13-II,criTRia,Limited
HFG_HOXA13-III,criTRia,Limited
HMNR7_VWA1,PanelApp,Strong
HMNR7_VWA1,Labcorp,Strong
HMNR7_VWA1,Orphanet,Supportive
HMNR7_VWA1,criTRia,Moderate
HPE5_ZIC2,Ambry,Definitive
HPE5_ZIC2,G2P,Definitive
HPE5_ZIC2,PanelApp,Strong
HPE5_ZIC2,Labcorp,Strong
HPE5_ZIC2,Orphanet,Supportive
HPE5_ZIC2,criTRia,Definitive
HSAN-VIII_PRDM12,G2P,Definitive
HSAN-VIII_PRDM12,PanelApp,Strong
HSAN-VIII_PRDM12,Illumina,Definitive
HSAN-VIII_PRDM12,Labcorp,Strong
HSAN-VIII_PRDM12,Orphanet,Supportive
HSAN-VIII_PRDM12,criTRia,Moderate
JBS_CBL,criTRia,Definitive
MIR7-2_CHNG3,criTRia,Strong
MRUPAV_PLIN4,Ambry,Moderate
MRUPAV_PLIN4,criTRia,Moderate
NIID_NOTCH2NLC,criTRia,Definitive
NME_NAXE,ClinGen,Definitive
NME_NAXE,PanelApp,Strong
NME_NAXE,criTRia,Limited
OPDM5_ABCD3,ClinGen,Limited
OPDM5_ABCD3,criTRia,Moderate
OPDM1_LRP12,Clingen,Moderate
OPDM1_LRP12,Ambry,Strong
OPDM1_LRP12,criTRia,Strong
OPDM2_GIPC1,PanelApp,Limited
OPDM2_GIPC1,Labcorp,Strong
OPDM2_GIPC1,Orphanet,Supportive
OPDM2_GIPC1,criTRia,Definitive
OPDM4_RILPL1,Ambry,Limited
OPDM4_RILPL1,criTRia,Moderate
OPDM3_PABPN1,Ambry,Definitive
OPDM3_PABPN1,PanelApp,Strong
OPDM3_PABPN1,Labcorp,Strong
OPDM3_PABPN1,Orphanet,Supportive
OPDM3_PABPN1,criTRia,Definitive
